system:index,total_rainfall_mm,year,.geo,anomaly_mm,anomaly_pct,anomaly_zscore
0,648.8468620342397,2015,"{""type"":""MultiPoint"",""coordinates"":[]}",-177.58415828987802,-21.488079939234535,-1.118443099195703
1,674.8458518279538,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",-151.585168496164,-18.342144083206588,-0.9546988159169373
2,1066.634583289337,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",240.20356296521913,29.06516781896858,1.5128264817525827
