system:index,rainfall_mm,year,district,anomaly_mm,anomaly_pct,anomaly_zscore
0_00020000000000000280,629.2438276154032,2015,Aurangabad,-197.1871927087145,-23.860090904063565,-1.2419050046954867
0_00020000000000000282,601.874286810531,2015,Bid,-224.5567335135868,-27.171866494739987,-1.414281157704566
0_00020000000000000284,760.9651065676672,2015,Hingoli,-65.4659137564505,-7.921521838661798,-0.4123109863996045
0_00020000000000000285,621.8325692225307,2015,Jalna,-204.5984511015871,-24.75686972898787,-1.2885818641951612
0_00020000000000000271,629.1207621234499,2015,Latur,-197.31025820066785,-23.874982103561983,-1.2426800836864833
0_00020000000000000273,768.0611836119797,2015,Nanded,-58.36983671213807,-7.062880661140481,-0.3676191711048128
0_00020000000000000275,525.6730807046159,2015,Osmanabad,-300.7579396195018,-36.39238269414762,-1.894204107703468
0_00020000000000000288,686.3313454007539,2015,Parbhani,-140.09967492336386,-16.95237369822084,-0.88236200867546
3_00020000000000000280,749.2444246112534,2016,Aurangabad,-77.18659571286435,-9.339750543559283,-0.4861290340129531
3_00020000000000000282,814.3517112762129,2016,Bid,-12.079309047904871,-1.4616233842683557,-0.0760767175280829
3_00020000000000000284,1070.3930007160836,2016,Hingoli,243.96198039196588,29.51994472524597,1.5364973771484438
3_00020000000000000285,799.4018369606135,2016,Jalna,-27.029183363504217,-3.2705915797913354,-0.1702325472098694
3_00020000000000000271,964.119153469678,2016,Latur,137.6881331455603,16.660571754864723,0.8671738731695674
3_00020000000000000273,1160.047710789,2016,Nanded,333.61669046488214,40.368364964572734,2.1011518641087266
3_00020000000000000275,764.8807681919683,2016,Osmanabad,-61.55025213214947,-7.447718033140878,-0.3876497510469771
3_00020000000000000288,994.545994111342,2016,Parbhani,168.11497378722424,20.342287456887966,1.0588052116499216
4_00020000000000000280,724.0442621511847,2017,Aurangabad,-102.386758172933,-12.389026507351817,-0.6448422214588003
4_00020000000000000282,765.8751361375739,2017,Bid,-60.55588418654384,-7.327397289951004,-0.3813871205424665
4_00020000000000000284,878.5013569918029,2017,Hingoli,52.07033666768518,6.300627080438454,0.3279442788117712
4_00020000000000000285,771.7365412072264,2017,Jalna,-54.69447911689133,-6.6181541800597845,-0.34447139497959
4_00020000000000000271,844.3372902742191,2017,Latur,17.90626995010132,2.166698672936873,0.1127755102194141
4_00020000000000000273,935.9841152247868,2017,Nanded,109.55309490066908,13.256169263552506,0.6899765393891513
4_00020000000000000275,834.9177416931119,2017,Osmanabad,8.486721368994154,1.0269122480017447,0.0534502347582951
4_00020000000000000288,821.9917083789805,2017,Parbhani,-4.439311945137206,-0.5371666643631253,-0.0279592383579113
1_00020000000000000280,518.388451421809,2018,Aurangabad,-308.04256890230874,-37.27383911381952,-1.9400834441826535
1_00020000000000000282,512.5030250132357,2018,Bid,-313.927995310882,-37.98598885939237,-1.977150458582373
1_00020000000000000284,910.9600266830604,2018,Hingoli,84.52900635894264,10.228198637291136,0.5323722833976332
1_00020000000000000285,607.8364201747554,2018,Jalna,-218.59460014936235,-26.45043503614274,-1.3767310350927489
1_00020000000000000271,743.3211786465571,2018,Latur,-83.10984167756067,-10.056476539925358,-0.523434239825509
1_00020000000000000273,947.550314070907,2018,Nanded,121.11929374678924,14.65570516693426,0.7628216366542588
1_00020000000000000275,546.8163869193684,2018,Osmanabad,-279.6146334047494,-33.83399540049784,-1.7610414137008272
1_00020000000000000288,744.1446316191648,2018,Parbhani,-82.28638870495297,-9.956836890353062,-0.5182480492125946
5_00020000000000000280,902.911079063521,2019,Aurangabad,76.48005873940326,9.254257991115647,0.4816791922595899
5_00020000000000000282,900.4415151213016,2019,Bid,74.01049479718381,8.95543523622306,0.4661256272580921
5_00020000000000000284,961.3912179466712,2019,Hingoli,134.96019762255344,16.33048546140287,0.8499930576613648
5_00020000000000000285,914.9851380792552,2019,Jalna,88.55411775513744,10.715246109760912,0.5577228445508386
5_00020000000000000271,938.9160689035232,2019,Latur,112.48504857940544,13.61094220970674,0.708442282002247
5_00020000000000000273,1070.5231287137683,2019,Nanded,244.09210838965052,29.53569050371804,1.5373169365191903
5_00020000000000000275,839.9209085269117,2019,Osmanabad,13.489888202793964,1.6323066137453757,0.0849606885807246
5_00020000000000000288,950.4859470696568,2019,Parbhani,124.05492674553908,15.010923319031033,0.781310551999193
2_00020000000000000280,1106.2363557128904,2020,Aurangabad,279.8053353887726,33.857070766660705,1.7622424742013114
2_00020000000000000282,939.7817569584192,2020,Bid,113.35073663430148,13.71569239860412,0.7138944734610941
2_00020000000000000284,1181.2710220729036,2020,Hingoli,354.8400017487859,42.9364330503496,2.2348184381778924
2_00020000000000000285,1068.672886279573,2020,Jalna,242.2418659554553,29.31180703508086,1.5256639213950214
2_00020000000000000271,1051.314686293525,2020,Latur,224.88366596940728,27.21142605237764,1.4163402115787225
2_00020000000000000273,1149.315879809047,2020,Nanded,322.8848594849292,39.06978943727174,2.033561700566829
2_00020000000000000275,1001.4425604571323,2020,Osmanabad,175.0115401330146,21.176787394110264,1.102240488263974
2_00020000000000000288,1099.293805851402,2020,Parbhani,272.8627855272844,33.01700672129543,1.7185175887262865
6_00020000000000000280,928.0329202462874,2022,Aurangabad,101.60189992216964,12.294056905357015,0.6398991043313131
6_00020000000000000282,1012.3399731271292,2022,Bid,185.9089528030114,22.49539867587495,1.1708735021387284
6_00020000000000000284,1384.3092691931813,2022,Hingoli,557.8782488690636,67.50451461154852,3.513573978938365
6_00020000000000000285,1058.5300025102067,2022,Jalna,232.09898218608896,28.08449543617834,1.4617830073144185
6_00020000000000000271,1175.945742686442,2022,Latur,349.51472236232416,42.29206234601989,2.2012792867218542
6_00020000000000000273,1409.640121399609,2022,Nanded,583.2091010754912,70.56960432665784,3.673110263705271
6_00020000000000000275,971.4053945328776,2022,Osmanabad,144.97437420875983,17.54222320356542,0.9130633608056749
6_00020000000000000288,1240.910572580189,2022,Parbhani,414.4795522560712,50.15295191769504,2.6104343959657714
7_00020000000000000280,694.3833280062531,2023,Aurangabad,-132.04769231786463,-15.978065811962974,-0.8316498028870128
7_00020000000000000282,687.6787017571522,2023,Bid,-138.75231856696553,-16.789340568623416,-0.8738762212410237
7_00020000000000000284,940.250130186537,2023,Hingoli,113.81910986241928,13.77236660571872,0.7168443357116518
7_00020000000000000285,699.0860483777707,2023,Jalna,-127.34497194634709,-15.40902613945973,-0.8020315914563221
7_00020000000000000271,891.0674408640559,2023,Latur,64.63642053993817,7.8211513060809885,0.4070867537159466
7_00020000000000000273,1019.663125369143,2023,Nanded,193.2321050450253,23.381516459684875,1.2169954601349489
7_00020000000000000275,671.2410953056434,2023,Osmanabad,-155.18992501847436,-18.77832767671408,-0.9774019393007112
7_00020000000000000288,830.8906124265006,2023,Parbhani,4.459592102382885,0.5396206087029356,0.028086964851876
0_20000000000000271,1031.6127619728989,2021,Latur,205.1817619728988,24.827452258313013,1.292255614587026
0_20000000000000273,1176.1002705913352,2021,Nanded,349.66927059133513,42.31076406757916,2.202252645777974
