system:index,total_rainfall_mm,year,.geo
0,648.8468620342397,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,674.8458518279538,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1066.634583289337,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
