system:index,total_rainfall_mm,year
0,649.0437866335226,2015
1,674.9060409797323,2018
2,1066.5115985896502,2020
3,904.6672471478387,2016
4,817.4837214984112,2017
5,936.4372479114518,2019
6,1130.7196640662592,2022
7,795.8518524043424,2023
